Carrefour Feux tricolores,Mouvement directionnel autorisé,ville,code_postal,Street1_name,Street2_name,Street1_coordinates,Street2_coordinates
"Intersection de l'avenue du
Général de Gaulle avec la rue
de la Cour et la route de
Provins","Mouvement de tourne à droite pour les cycles circulant avenue du Général
de Gaulle vers la route de Provins",Annecy,74000,avenue du Général,rue de la,,
"Intersection de l'avenue du
Général de Gaulle avec la rue
de la Cour et la route de
Provins","Mouvement de tourne à droite pour les cycles circulant rue de la Cour vers
l'avenue du Général de Gaulle",Annecy,74000,avenue du Général,rue de la,,
"Intersection de l'avenue des
Îles avec l'avenue Germain
Pérréard et le boulevard du
Fier","Mouvement de tourne à droite pour les cycles circulant avenue Germain
Perréard vers l'avenue des Îles",Annecy,74000,avenue des Îles,avenue Germain Pérréard,"(45.915827, 6.1123464)","(45.9117057, 6.1135399)"
"Intersection de l'avenue des
Îles avec l'avenue Germain
Pérréard et le boulevard du
Fier","Mouvement de tourne à droite pour les cycles circulant avenue des Îles vers
l'avenue Germain Perréard",Annecy,74000,avenue des Îles,avenue Germain Pérréard,"(45.915827, 6.1123464)","(45.9117057, 6.1135399)"
"Intersection de l'avenue des
Îles avec l'avenue Germain
Pérréard et le boulevard du
Fier","Mouvement de tourne à droite pour les cycles circulant boulevard du Fier
vers l'avenue des Îles",Annecy,74000,avenue des Îles,avenue Germain Pérréard,"(45.915827, 6.1123464)","(45.9117057, 6.1135399)"
"Intersection de l'avenue de la
République avec la rue des
Forges","Mouvement de tourne à droite pour les cycles circulant avenue de la
République vers la rue des Forges",Annecy,74000,avenue de la,rue des Forges,"(50.859907, 4.4548547)","(45.907811, 6.0978895)"
"Intersection de l'avenue de la
République avec la rue des
Forges","Mouvement de tourne à droite pour les cycles circulant rue des Forges vers
l'avenue de la République",Annecy,74000,avenue de la,rue des Forges,"(50.859907, 4.4548547)","(45.907811, 6.0978895)"
"Intersection de l'avenue de la
République avec la rue des
Forges","Mouvement direct pour les cycles circulant avenue de la République dans le
sens Est/Ouest",Annecy,74000,avenue de la,rue des Forges,"(50.859907, 4.4548547)","(45.907811, 6.0978895)"
"Au droit du n° 45 avenue de la
République","Mouvement direct pour les cycles circulant avenue de la République à
l'intersection avec la sortie de l'aire de stationnement des Forges, dans les
deux sens",Annecy,74000,avenue de la,No match found,"(50.859907, 4.4548547)",
"Au droit du 58bis avenue de la
République","Mouvement direct pour les cycles circulant avenue de la République à
l'intersection avec la sortie du parking des Passerelles dans le sens Est/Ouest",Annecy,74000,avenue de la,No match found,"(50.859907, 4.4548547)",
"Intersection de l'avenue de la
République avec le chemin
des Grèves et la rue des
Passerelles","Mouvement de tourne à droite pour les cycles circulant avenue de la
République vers le chemin des Grèves",Annecy,74000,avenue de la,rue des Passerelles,"(50.859907, 4.4548547)","(45.9080418, 6.104012)"
"Intersection de l'avenue de la
République avec le chemin
des Grèves et la rue des
Passerelles","Mouvement de tourne à droite pour les cycles circulant avenue de la
République vers la rue des Passerelles",Annecy,74000,avenue de la,rue des Passerelles,"(50.859907, 4.4548547)","(45.9080418, 6.104012)"
"Intersection de l'avenue de la
République avec le chemin
des Grèves et la rue des
Passerelles","Mouvement direct à l'intersection de l'avenue de la République avec la rue
des Passerelles",Annecy,74000,avenue de la,rue des Passerelles,"(50.859907, 4.4548547)","(45.9080418, 6.104012)"
"Intersection de l'avenue de la
République avec le chemin
des Grèves et la rue des
Passerelles","Mouvement de tourne à droite pour les cycles circulant chemin des Grèves
vers l'avenue de la République",Annecy,74000,avenue de la,rue des Passerelles,"(50.859907, 4.4548547)","(45.9080418, 6.104012)"
"Intersection de l'avenue de la
République avec le chemin
des Grèves et la rue des
Passerelles","Mouvement de tourne à droite pour les cycles circulant rue des Passerelles
vers l'avenue de la République",Annecy,74000,avenue de la,rue des Passerelles,"(50.859907, 4.4548547)","(45.9080418, 6.104012)"
"Intersection de l'avenue de la
République avec la rue des
Droits de l'Homme et l'avenue
Pierre Mendès France","Mouvement de tourne à droite pour les cycles circulant avenue de la
République vers la rue des Droits de l'Homme",Annecy,74000,avenue de la,rue des Droits,"(50.859907, 4.4548547)",
"Intersection de l'avenue de la
République avec la rue des
Droits de l'Homme et l'avenue
Pierre Mendès France","Mouvement de tourne à droite pour les cycles circulant rue des Droits de
l'Homme vers l'avenue de la République",Annecy,74000,avenue de la,rue des Droits,"(50.859907, 4.4548547)",
"Intersection de l'avenue de la
République avec la rue des
Droits de l'Homme et l'avenue
Pierre Mendès France","Mouvement de tourne à droite pour les cycles circulant avenue de la
République vers l'avenue Pierre Mendès France",Annecy,74000,avenue de la,rue des Droits,"(50.859907, 4.4548547)",
"Intersection de l'avenue de la
République avec la rue des
Droits de l'Homme et l'avenue
Pierre Mendès France","Mouvement de tourne à droite pour les cycles circulant avenue Pierre
Mendès France vers l'avenue de la République",Annecy,74000,avenue de la,rue des Droits,"(50.859907, 4.4548547)",
"Intersection de l'avenue des
Îles et de la rue de la Crête","Mouvement de tourne à droite pour les cycles circulant rue de la Crête vers
l'avenue des Îles, dans les 2 sens",Annecy,74000,avenue des Îles,rue de la,"(45.915827, 6.1123464)",
"Intersection de l'avenue des
Îles et de la rue de la Crête","Mouvement de tourne à droite pour les cycles circulant avenue des Îles vers
la rue de la Crête, dans les 2 sens",Annecy,74000,avenue des Îles,rue de la,"(45.915827, 6.1123464)",
"Intersection de la Grande rue
d'Aléry avec l'avenue du Pont
Neuf et la rue de l'Isernon","Mouvement de tourne à droite pour les cycles circulant Grande rue d'Aléry
vers l'avenue du Pont Neuf",Annecy,74000,rue d'Aléry avec,avenue du Pont,,"(45.9138736, 6.1007957)"
"Intersection de la Grande rue
d'Aléry avec l'avenue du Pont
Neuf et la rue de l'Isernon","Mouvement de tourne à droite pour les cycles circulant avenue du Pont Neuf
vers la rue de l'Isernon",Annecy,74000,rue d'Aléry avec,avenue du Pont,,"(45.9138736, 6.1007957)"
"Intersection de la Grande rue
d'Aléry avec l'avenue du Pont
Neuf et la rue de l'Isernon","Mouvement de tourne à droite pour les cycles circulant rue de l'Isernon vers
l'avenue du Pont Neuf",Annecy,74000,rue d'Aléry avec,avenue du Pont,,"(45.9138736, 6.1007957)"
"Intersection de la Grande rue
d'Aléry avec l'avenue du Pont
Neuf et la rue de l'Isernon","Mouvement de tourne à droite pour les cycles circulant avenue du Pont Neuf
vers la Grande rue d'Aléry",Annecy,74000,rue d'Aléry avec,avenue du Pont,,"(45.9138736, 6.1007957)"
"Intersection de la Grande rue
d'Aléry avec l'avenue du Pont
Neuf et la rue de l'Isernon","Mouvement de tourne à gauche pour les cycles circulant avenue du Pont
Neuf vers la rue de l'Isernon",Annecy,74000,rue d'Aléry avec,avenue du Pont,,"(45.9138736, 6.1007957)"
"Au droit du n° 15 Grande Rue
d'Aléry","Mouvement direct pour les cycles circulant Grande rue d'Aléry, dans les deux
sens",Annecy,74000,No match found,No match found,,
"Intersection de la rue de la
Fruitière avec l'avenue du
Stade","Mouvement de tourne à droite pour les cycles circulant rue de la Fruitière
vers l'avenue du Stade, dans les deux sens",Annecy,74000,rue de la,avenue du Stade,,"(45.9168097, 6.0924212)"
"Intersection de la rue de la
Fruitière avec l'avenue du
Stade","Mouvement de tourne à droite pour les cycles circulant avenue du Stade
vers la rue de la Fruitière, dans les deux sens",Annecy,74000,rue de la,avenue du Stade,,"(45.9168097, 6.0924212)"
"Intersection de la route de
Frangy avec la route de
Rumilly","Mouvement direct pour les cycles circulant route de Frangy dans les deux
sens",Annecy,74000,No match found,No match found,,
"Intersection de la route de
Frangy avec la rue de
l'Aérodrome et la rue François
Vernex","Mouvement de tourne à droite pour les cycles circulant rue François Vernex
vers la route de Frangy",Annecy,74000,rue de l'Aérodrome,rue François Vernex,,"(45.9133373, 6.0903698)"
"Intersection de la route de
Frangy avec la rue de
l'Aérodrome et la rue François
Vernex","Mouvement de tourne à droite pour les cycles circulant route de Frangy vers
la rue de l'Aérodrome",Annecy,74000,rue de l'Aérodrome,rue François Vernex,,"(45.9133373, 6.0903698)"
"Intersection de la route de
Frangy avec la rue de
l'Aérodrome et la rue François
Vernex","Mouvement de tourne à droite pour les cycles circulant rue de l'Aérodrome
vers la route de Frangy",Annecy,74000,rue de l'Aérodrome,rue François Vernex,,"(45.9133373, 6.0903698)"
"Intersection de la route de
Frangy avec la rue de
l'Aérodrome et la rue François
Vernex","Mouvement de tourne à droite pour les cycles circulant route de Frangy vers
la rue François Vernex",Annecy,74000,rue de l'Aérodrome,rue François Vernex,,"(45.9133373, 6.0903698)"
"Intersection de la route de
Frangy avec la rue de l'Egalité","Mouvement de tourne à droite pour les cycles circulant rue de l'Egalité vers
la route de Frangy",Annecy,74000,rue de l'Egalité,No match found,,
"Intersection de la route de
Frangy avec la rue de l'Egalité","Mouvement de tourne à droite pour les cycles circulant route de Frangy vers
la rue de l'Egalité",Annecy,74000,rue de l'Egalité,No match found,,
"Intersection de la route de
Frangy avec la rue de l'Egalité","Mouvement direct pour les cycles circulant route de Frangy dans les sens
Nord/Sud et Sud/Nord",Annecy,74000,rue de l'Egalité,No match found,,
"Intersection de la route de
Frangy avec la rue Antoine
Berthod","Mouvement de tourne à droite pour les cycles circulant rue Antoine Berthod
vers la route de Frangy",Annecy,74000,rue Antoine Berthod,No match found,"(45.9109291, 6.095155)",
"Intersection de la route de
Frangy avec la rue Antoine
Berthod","Mouvement de tourne à droite pour les cycles circulant route de Frangy vers
la rue Antoine Berthod",Annecy,74000,rue Antoine Berthod,No match found,"(45.9109291, 6.095155)",
"Intersection de la route de
Frangy avec la rue Antoine
Berthod","Mouvement direct pour les cycles circulant route de Frangy dans le sens
Sud/Nord",Annecy,74000,rue Antoine Berthod,No match found,"(45.9109291, 6.095155)",
"Intersection de la route de
Frangy avec l'avenue du Pont
de Tasset","Mouvement de tourne à droite pour les cycles circulant avenue du Pont de
Tasset vers la route de Frangy",Annecy,74000,avenue du Pont,No match found,"(45.9138736, 6.1007957)",
"Intersection de la route de
Frangy avec l'avenue du Pont
de Tasset","Mouvement de tourne à droite pour les cycles circulant route de Frangy vers
l'avenue du Pont de Tasset",Annecy,74000,avenue du Pont,No match found,"(45.9138736, 6.1007957)",
"Intersection de la route de
Frangy avec l'avenue du Pont
de Tasset","Mouvement direct pour les cycles circulant route de Frangy dans le sens
Ouest/Est",Annecy,74000,avenue du Pont,No match found,"(45.9138736, 6.1007957)",
"Intersection de la route de
Genève avec la rue des
Romains et la route des
Recouts","Mouvement de tourne à droite pour les cycles circulant route des Recouts
vers la route de Genève",Annecy,74000,rue des Romains,No match found,"(45.9470591, 6.1227317)",
"Intersection de la route de
Genève avec la rue des
Romains et la route des
Recouts","Mouvement de tourne à droite pour les cycles circulant rue des Romains
vers la route Genève",Annecy,74000,rue des Romains,No match found,"(45.9470591, 6.1227317)",
